#Date Day Month Year Weekday Weeknum LeapYear
03/23/2003 23 3 2003 1 11 0
03/24/2003 24 3 2003 2 12 0
03/25/2003 25 3 2003 3 12 0
03/26/2003 26 3 2003 4 12 0
03/27/2003 27 3 2003 5 12 0
03/28/2003 28 3 2003 6 12 0
03/29/2003 29 3 2003 7 12 0
03/30/2003 30 3 2003 1 12 0
03/31/2003 31 3 2003 2 13 0
04/01/2003 1 4 2003 3 13 0
04/02/2003 2 4 2003 4 13 0
04/03/2003 3 4 2003 5 13 0
04/04/2003 4 4 2003 6 13 0
04/05/2003 5 4 2003 7 13 0
04/06/2003 6 4 2003 1 13 0
04/07/2003 7 4 2003 2 14 0
04/08/2003 8 4 2003 3 14 0
04/09/2003 9 4 2003 4 14 0
04/10/2003 10 4 2003 5 14 0
04/11/2003 11 4 2003 6 14 0
04/12/2003 12 4 2003 7 14 0
04/13/2003 13 4 2003 1 14 0
04/14/2003 14 4 2003 2 15 0
04/15/2003 15 4 2003 3 15 0
04/16/2003 16 4 2003 4 15 0
04/17/2003 17 4 2003 5 15 0
04/18/2003 18 4 2003 6 15 0
04/19/2003 19 4 2003 7 15 0
04/20/2003 20 4 2003 1 15 0
04/21/2003 21 4 2003 2 16 0
04/22/2003 22 4 2003 3 16 0
04/23/2003 23 4 2003 4 16 0
04/24/2003 24 4 2003 5 16 0
04/25/2003 25 4 2003 6 16 0
04/26/2003 26 4 2003 7 16 0
04/27/2003 27 4 2003 1 16 0
04/28/2003 28 4 2003 2 17 0
04/29/2003 29 4 2003 3 17 0
04/30/2003 30 4 2003 4 17 0
05/01/2003 1 5 2003 5 17 0
05/02/2003 2 5 2003 6 17 0
05/03/2003 3 5 2003 7 17 0
05/04/2003 4 5 2003 1 17 0
05/05/2003 5 5 2003 2 18 0
05/06/2003 6 5 2003 3 18 0
05/07/2003 7 5 2003 4 18 0
05/08/2003 8 5 2003 5 18 0
05/09/2003 9 5 2003 6 18 0
05/10/2003 10 5 2003 7 18 0
05/11/2003 11 5 2003 1 18 0
05/12/2003 12 5 2003 2 19 0
05/13/2003 13 5 2003 3 19 0
05/14/2003 14 5 2003 4 19 0
05/15/2003 15 5 2003 5 19 0
05/16/2003 16 5 2003 6 19 0
05/17/2003 17 5 2003 7 19 0
05/18/2003 18 5 2003 1 19 0
05/19/2003 19 5 2003 2 20 0
05/20/2003 20 5 2003 3 20 0
05/21/2003 21 5 2003 4 20 0
05/22/2003 22 5 2003 5 20 0
05/23/2003 23 5 2003 6 20 0
05/24/2003 24 5 2003 7 20 0
05/25/2003 25 5 2003 1 20 0
05/26/2003 26 5 2003 2 21 0
05/27/2003 27 5 2003 3 21 0
05/28/2003 28 5 2003 4 21 0
05/29/2003 29 5 2003 5 21 0
05/30/2003 30 5 2003 6 21 0
05/31/2003 31 5 2003 7 21 0
06/01/2003 1 6 2003 1 21 0
06/02/2003 2 6 2003 2 22 0
06/03/2003 3 6 2003 3 22 0
06/04/2003 4 6 2003 4 22 0
06/05/2003 5 6 2003 5 22 0
06/06/2003 6 6 2003 6 22 0
06/07/2003 7 6 2003 7 22 0
06/08/2003 8 6 2003 1 22 0
06/09/2003 9 6 2003 2 23 0
06/10/2003 10 6 2003 3 23 0
06/11/2003 11 6 2003 4 23 0
06/12/2003 12 6 2003 5 23 0
06/13/2003 13 6 2003 6 23 0
06/14/2003 14 6 2003 7 23 0
06/15/2003 15 6 2003 1 23 0
06/16/2003 16 6 2003 2 24 0
06/17/2003 17 6 2003 3 24 0
06/18/2003 18 6 2003 4 24 0
06/19/2003 19 6 2003 5 24 0
06/20/2003 20 6 2003 6 24 0
06/21/2003 21 6 2003 7 24 0
06/22/2003 22 6 2003 1 24 0
06/23/2003 23 6 2003 2 25 0
06/24/2003 24 6 2003 3 25 0
06/25/2003 25 6 2003 4 25 0
06/26/2003 26 6 2003 5 25 0
06/27/2003 27 6 2003 6 25 0
06/28/2003 28 6 2003 7 25 0
06/29/2003 29 6 2003 1 25 0
06/30/2003 30 6 2003 2 26 0
07/01/2003 1 7 2003 3 26 0
07/02/2003 2 7 2003 4 26 0
07/03/2003 3 7 2003 5 26 0
07/04/2003 4 7 2003 6 26 0
07/05/2003 5 7 2003 7 26 0
07/06/2003 6 7 2003 1 26 0
07/07/2003 7 7 2003 2 27 0
07/08/2003 8 7 2003 3 27 0
07/09/2003 9 7 2003 4 27 0
07/10/2003 10 7 2003 5 27 0
07/11/2003 11 7 2003 6 27 0
07/12/2003 12 7 2003 7 27 0
07/13/2003 13 7 2003 1 27 0
07/14/2003 14 7 2003 2 28 0
07/15/2003 15 7 2003 3 28 0
07/16/2003 16 7 2003 4 28 0
07/17/2003 17 7 2003 5 28 0
07/18/2003 18 7 2003 6 28 0
07/19/2003 19 7 2003 7 28 0
07/20/2003 20 7 2003 1 28 0
07/21/2003 21 7 2003 2 29 0
07/22/2003 22 7 2003 3 29 0
07/23/2003 23 7 2003 4 29 0
07/24/2003 24 7 2003 5 29 0
07/25/2003 25 7 2003 6 29 0
07/26/2003 26 7 2003 7 29 0
07/27/2003 27 7 2003 1 29 0
07/28/2003 28 7 2003 2 30 0
07/29/2003 29 7 2003 3 30 0
07/30/2003 30 7 2003 4 30 0
07/31/2003 31 7 2003 5 30 0
08/01/2003 1 8 2003 6 30 0
08/02/2003 2 8 2003 7 30 0
08/03/2003 3 8 2003 1 30 0
08/04/2003 4 8 2003 2 31 0
08/05/2003 5 8 2003 3 31 0
08/06/2003 6 8 2003 4 31 0
08/07/2003 7 8 2003 5 31 0
08/08/2003 8 8 2003 6 31 0
08/09/2003 9 8 2003 7 31 0
08/10/2003 10 8 2003 1 31 0
08/11/2003 11 8 2003 2 32 0
08/12/2003 12 8 2003 3 32 0
08/13/2003 13 8 2003 4 32 0
08/14/2003 14 8 2003 5 32 0
08/15/2003 15 8 2003 6 32 0
08/16/2003 16 8 2003 7 32 0
08/17/2003 17 8 2003 1 32 0
08/18/2003 18 8 2003 2 33 0
08/19/2003 19 8 2003 3 33 0
08/20/2003 20 8 2003 4 33 0
08/21/2003 21 8 2003 5 33 0
08/22/2003 22 8 2003 6 33 0
08/23/2003 23 8 2003 7 33 0
08/24/2003 24 8 2003 1 33 0
08/25/2003 25 8 2003 2 34 0
08/26/2003 26 8 2003 3 34 0
08/27/2003 27 8 2003 4 34 0
08/28/2003 28 8 2003 5 34 0
08/29/2003 29 8 2003 6 34 0
08/30/2003 30 8 2003 7 34 0
08/31/2003 31 8 2003 1 34 0
09/01/2003 1 9 2003 2 35 0
09/02/2003 2 9 2003 3 35 0
09/03/2003 3 9 2003 4 35 0
09/04/2003 4 9 2003 5 35 0
09/05/2003 5 9 2003 6 35 0
09/06/2003 6 9 2003 7 35 0
09/07/2003 7 9 2003 1 35 0
09/08/2003 8 9 2003 2 36 0
09/09/2003 9 9 2003 3 36 0
09/10/2003 10 9 2003 4 36 0
09/11/2003 11 9 2003 5 36 0
09/12/2003 12 9 2003 6 36 0
09/13/2003 13 9 2003 7 36 0
09/14/2003 14 9 2003 1 36 0
09/15/2003 15 9 2003 2 37 0
09/16/2003 16 9 2003 3 37 0
09/17/2003 17 9 2003 4 37 0
09/18/2003 18 9 2003 5 37 0
09/19/2003 19 9 2003 6 37 0
09/20/2003 20 9 2003 7 37 0
09/21/2003 21 9 2003 1 37 0
09/22/2003 22 9 2003 2 38 0
09/23/2003 23 9 2003 3 38 0
09/24/2003 24 9 2003 4 38 0
09/25/2003 25 9 2003 5 38 0
09/26/2003 26 9 2003 6 38 0
09/27/2003 27 9 2003 7 38 0
09/28/2003 28 9 2003 1 38 0
09/29/2003 29 9 2003 2 39 0
09/30/2003 30 9 2003 3 39 0
10/01/2003 1 10 2003 4 39 0
10/02/2003 2 10 2003 5 39 0
10/03/2003 3 10 2003 6 39 0
10/04/2003 4 10 2003 7 39 0
10/05/2003 5 10 2003 1 39 0
10/06/2003 6 10 2003 2 40 0
10/07/2003 7 10 2003 3 40 0
10/08/2003 8 10 2003 4 40 0
10/09/2003 9 10 2003 5 40 0
10/10/2003 10 10 2003 6 40 0
10/11/2003 11 10 2003 7 40 0
10/12/2003 12 10 2003 1 40 0
10/13/2003 13 10 2003 2 41 0
10/14/2003 14 10 2003 3 41 0
10/15/2003 15 10 2003 4 41 0
10/16/2003 16 10 2003 5 41 0
10/17/2003 17 10 2003 6 41 0
10/18/2003 18 10 2003 7 41 0
10/19/2003 19 10 2003 1 41 0
10/20/2003 20 10 2003 2 42 0
10/21/2003 21 10 2003 3 42 0
10/22/2003 22 10 2003 4 42 0
10/23/2003 23 10 2003 5 42 0
10/24/2003 24 10 2003 6 42 0
10/25/2003 25 10 2003 7 42 0
10/26/2003 26 10 2003 1 42 0
10/27/2003 27 10 2003 2 43 0
10/28/2003 28 10 2003 3 43 0
10/29/2003 29 10 2003 4 43 0
10/30/2003 30 10 2003 5 43 0
10/31/2003 31 10 2003 6 43 0
11/01/2003 1 11 2003 7 43 0
11/02/2003 2 11 2003 1 43 0
11/03/2003 3 11 2003 2 44 0
11/04/2003 4 11 2003 3 44 0
11/05/2003 5 11 2003 4 44 0
11/06/2003 6 11 2003 5 44 0
11/07/2003 7 11 2003 6 44 0
11/08/2003 8 11 2003 7 44 0
11/09/2003 9 11 2003 1 44 0
11/10/2003 10 11 2003 2 45 0
11/11/2003 11 11 2003 3 45 0
11/12/2003 12 11 2003 4 45 0
11/13/2003 13 11 2003 5 45 0
11/14/2003 14 11 2003 6 45 0
11/15/2003 15 11 2003 7 45 0
11/16/2003 16 11 2003 1 45 0
11/17/2003 17 11 2003 2 46 0
11/18/2003 18 11 2003 3 46 0
11/19/2003 19 11 2003 4 46 0
11/20/2003 20 11 2003 5 46 0
11/21/2003 21 11 2003 6 46 0
11/22/2003 22 11 2003 7 46 0
11/23/2003 23 11 2003 1 46 0
11/24/2003 24 11 2003 2 47 0
11/25/2003 25 11 2003 3 47 0
11/26/2003 26 11 2003 4 47 0
11/27/2003 27 11 2003 5 47 0
11/28/2003 28 11 2003 6 47 0
11/29/2003 29 11 2003 7 47 0
11/30/2003 30 11 2003 1 47 0
12/01/2003 1 12 2003 2 48 0
12/02/2003 2 12 2003 3 48 0
12/03/2003 3 12 2003 4 48 0
12/04/2003 4 12 2003 5 48 0
12/05/2003 5 12 2003 6 48 0
12/06/2003 6 12 2003 7 48 0
12/07/2003 7 12 2003 1 48 0
12/08/2003 8 12 2003 2 49 0
12/09/2003 9 12 2003 3 49 0
12/10/2003 10 12 2003 4 49 0
12/11/2003 11 12 2003 5 49 0
12/12/2003 12 12 2003 6 49 0
12/13/2003 13 12 2003 7 49 0
12/14/2003 14 12 2003 1 49 0
12/15/2003 15 12 2003 2 50 0
12/16/2003 16 12 2003 3 50 0
12/17/2003 17 12 2003 4 50 0
12/18/2003 18 12 2003 5 50 0
12/19/2003 19 12 2003 6 50 0
12/20/2003 20 12 2003 7 50 0
12/21/2003 21 12 2003 1 50 0
12/22/2003 22 12 2003 2 51 0
12/23/2003 23 12 2003 3 51 0
12/24/2003 24 12 2003 4 51 0
12/25/2003 25 12 2003 5 51 0
12/26/2003 26 12 2003 6 51 0
12/27/2003 27 12 2003 7 51 0
12/28/2003 28 12 2003 1 51 0
12/29/2003 29 12 2003 2 52 0
12/30/2003 30 12 2003 3 52 0
12/31/2003 31 12 2003 4 52 0
01/01/2004 1 1 2004 5 52 1
01/02/2004 2 1 2004 6 52 1
01/03/2004 3 1 2004 7 52 1
01/04/2004 4 1 2004 1 52 1
01/05/2004 5 1 2004 2 1 1
01/06/2004 6 1 2004 3 1 1
01/07/2004 7 1 2004 4 1 1
01/08/2004 8 1 2004 5 1 1
01/09/2004 9 1 2004 6 1 1
01/10/2004 10 1 2004 7 1 1
01/11/2004 11 1 2004 1 1 1
01/12/2004 12 1 2004 2 2 1
01/13/2004 13 1 2004 3 2 1
01/14/2004 14 1 2004 4 2 1
01/15/2004 15 1 2004 5 2 1
01/16/2004 16 1 2004 6 2 1
01/17/2004 17 1 2004 7 2 1
01/18/2004 18 1 2004 1 2 1
01/19/2004 19 1 2004 2 3 1
01/20/2004 20 1 2004 3 3 1
01/21/2004 21 1 2004 4 3 1
01/22/2004 22 1 2004 5 3 1
01/23/2004 23 1 2004 6 3 1
01/24/2004 24 1 2004 7 3 1
01/25/2004 25 1 2004 1 3 1
01/26/2004 26 1 2004 2 4 1
01/27/2004 27 1 2004 3 4 1
01/28/2004 28 1 2004 4 4 1
01/29/2004 29 1 2004 5 4 1
01/30/2004 30 1 2004 6 4 1
01/31/2004 31 1 2004 7 4 1
02/01/2004 1 2 2004 1 4 1
02/02/2004 2 2 2004 2 5 1
02/03/2004 3 2 2004 3 5 1
02/04/2004 4 2 2004 4 5 1
02/05/2004 5 2 2004 5 5 1
02/06/2004 6 2 2004 6 5 1
02/07/2004 7 2 2004 7 5 1
02/08/2004 8 2 2004 1 5 1
02/09/2004 9 2 2004 2 6 1
02/10/2004 10 2 2004 3 6 1
02/11/2004 11 2 2004 4 6 1
02/12/2004 12 2 2004 5 6 1
02/13/2004 13 2 2004 6 6 1
02/14/2004 14 2 2004 7 6 1
02/15/2004 15 2 2004 1 6 1
02/16/2004 16 2 2004 2 7 1
02/17/2004 17 2 2004 3 7 1
02/18/2004 18 2 2004 4 7 1
02/19/2004 19 2 2004 5 7 1
02/20/2004 20 2 2004 6 7 1
02/21/2004 21 2 2004 7 7 1
02/22/2004 22 2 2004 1 7 1
02/23/2004 23 2 2004 2 8 1
02/24/2004 24 2 2004 3 8 1
02/25/2004 25 2 2004 4 8 1
02/26/2004 26 2 2004 5 8 1
02/27/2004 27 2 2004 6 8 1
02/28/2004 28 2 2004 7 8 1
02/29/2004 29 2 2004 1 8 1
03/01/2004 1 3 2004 2 9 1
03/02/2004 2 3 2004 3 9 1
03/03/2004 3 3 2004 4 9 1
03/04/2004 4 3 2004 5 9 1
03/05/2004 5 3 2004 6 9 1
03/06/2004 6 3 2004 7 9 1
03/07/2004 7 3 2004 1 9 1
03/08/2004 8 3 2004 2 10 1
03/09/2004 9 3 2004 3 10 1
03/10/2004 10 3 2004 4 10 1
03/11/2004 11 3 2004 5 10 1
03/12/2004 12 3 2004 6 10 1
03/13/2004 13 3 2004 7 10 1
03/14/2004 14 3 2004 1 10 1
03/15/2004 15 3 2004 2 11 1
03/16/2004 16 3 2004 3 11 1
03/17/2004 17 3 2004 4 11 1
03/18/2004 18 3 2004 5 11 1
03/19/2004 19 3 2004 6 11 1
03/20/2004 20 3 2004 7 11 1
03/21/2004 21 3 2004 1 11 1
03/22/2004 22 3 2004 2 12 1
03/23/2004 23 3 2004 3 12 1
03/24/2004 24 3 2004 4 12 1
03/25/2004 25 3 2004 5 12 1
03/26/2004 26 3 2004 6 12 1
03/27/2004 27 3 2004 7 12 1
03/28/2004 28 3 2004 1 12 1
03/29/2004 29 3 2004 2 13 1
03/30/2004 30 3 2004 3 13 1
03/31/2004 31 3 2004 4 13 1
04/01/2004 1 4 2004 5 13 1
04/02/2004 2 4 2004 6 13 1
04/03/2004 3 4 2004 7 13 1
04/04/2004 4 4 2004 1 13 1
04/05/2004 5 4 2004 2 14 1
04/06/2004 6 4 2004 3 14 1
04/07/2004 7 4 2004 4 14 1
04/08/2004 8 4 2004 5 14 1
04/09/2004 9 4 2004 6 14 1
04/10/2004 10 4 2004 7 14 1
04/11/2004 11 4 2004 1 14 1
04/12/2004 12 4 2004 2 15 1
04/13/2004 13 4 2004 3 15 1
04/14/2004 14 4 2004 4 15 1
04/15/2004 15 4 2004 5 15 1
04/16/2004 16 4 2004 6 15 1
04/17/2004 17 4 2004 7 15 1
04/18/2004 18 4 2004 1 15 1
04/19/2004 19 4 2004 2 16 1
04/20/2004 20 4 2004 3 16 1
04/21/2004 21 4 2004 4 16 1
04/22/2004 22 4 2004 5 16 1
04/23/2004 23 4 2004 6 16 1
04/24/2004 24 4 2004 7 16 1
04/25/2004 25 4 2004 1 16 1
04/26/2004 26 4 2004 2 17 1
04/27/2004 27 4 2004 3 17 1
04/28/2004 28 4 2004 4 17 1
04/29/2004 29 4 2004 5 17 1
04/30/2004 30 4 2004 6 17 1
05/01/2004 1 5 2004 7 17 1
05/02/2004 2 5 2004 1 17 1
05/03/2004 3 5 2004 2 18 1
05/04/2004 4 5 2004 3 18 1
05/05/2004 5 5 2004 4 18 1
05/06/2004 6 5 2004 5 18 1
05/07/2004 7 5 2004 6 18 1
05/08/2004 8 5 2004 7 18 1
05/09/2004 9 5 2004 1 18 1
05/10/2004 10 5 2004 2 19 1
05/11/2004 11 5 2004 3 19 1
05/12/2004 12 5 2004 4 19 1
05/13/2004 13 5 2004 5 19 1
05/14/2004 14 5 2004 6 19 1
05/15/2004 15 5 2004 7 19 1
05/16/2004 16 5 2004 1 19 1
05/17/2004 17 5 2004 2 20 1
05/18/2004 18 5 2004 3 20 1
05/19/2004 19 5 2004 4 20 1
05/20/2004 20 5 2004 5 20 1
05/21/2004 21 5 2004 6 20 1
05/22/2004 22 5 2004 7 20 1
05/23/2004 23 5 2004 1 20 1
05/24/2004 24 5 2004 2 21 1
05/25/2004 25 5 2004 3 21 1
05/26/2004 26 5 2004 4 21 1
05/27/2004 27 5 2004 5 21 1
05/28/2004 28 5 2004 6 21 1
05/29/2004 29 5 2004 7 21 1
05/30/2004 30 5 2004 1 21 1
05/31/2004 31 5 2004 2 22 1
06/01/2004 1 6 2004 3 22 1
06/02/2004 2 6 2004 4 22 1
06/03/2004 3 6 2004 5 22 1
06/04/2004 4 6 2004 6 22 1
06/05/2004 5 6 2004 7 22 1
06/06/2004 6 6 2004 1 22 1
06/07/2004 7 6 2004 2 23 1
06/08/2004 8 6 2004 3 23 1
06/09/2004 9 6 2004 4 23 1
06/10/2004 10 6 2004 5 23 1
06/11/2004 11 6 2004 6 23 1
06/12/2004 12 6 2004 7 23 1
06/13/2004 13 6 2004 1 23 1
06/14/2004 14 6 2004 2 24 1
06/15/2004 15 6 2004 3 24 1
06/16/2004 16 6 2004 4 24 1
06/17/2004 17 6 2004 5 24 1
06/18/2004 18 6 2004 6 24 1
06/19/2004 19 6 2004 7 24 1
06/20/2004 20 6 2004 1 24 1
06/21/2004 21 6 2004 2 25 1
06/22/2004 22 6 2004 3 25 1
06/23/2004 23 6 2004 4 25 1
06/24/2004 24 6 2004 5 25 1
06/25/2004 25 6 2004 6 25 1
06/26/2004 26 6 2004 7 25 1
06/27/2004 27 6 2004 1 25 1
06/28/2004 28 6 2004 2 26 1
06/29/2004 29 6 2004 3 26 1
06/30/2004 30 6 2004 4 26 1
07/01/2004 1 7 2004 5 26 1
07/02/2004 2 7 2004 6 26 1
07/03/2004 3 7 2004 7 26 1
07/04/2004 4 7 2004 1 26 1
07/05/2004 5 7 2004 2 27 1
07/06/2004 6 7 2004 3 27 1
07/07/2004 7 7 2004 4 27 1
07/08/2004 8 7 2004 5 27 1
07/09/2004 9 7 2004 6 27 1
07/10/2004 10 7 2004 7 27 1
07/11/2004 11 7 2004 1 27 1
07/12/2004 12 7 2004 2 28 1
07/13/2004 13 7 2004 3 28 1
07/14/2004 14 7 2004 4 28 1
07/15/2004 15 7 2004 5 28 1
07/16/2004 16 7 2004 6 28 1
07/17/2004 17 7 2004 7 28 1
07/18/2004 18 7 2004 1 28 1
07/19/2004 19 7 2004 2 29 1
07/20/2004 20 7 2004 3 29 1
07/21/2004 21 7 2004 4 29 1
07/22/2004 22 7 2004 5 29 1
07/23/2004 23 7 2004 6 29 1
07/24/2004 24 7 2004 7 29 1
07/25/2004 25 7 2004 1 29 1
07/26/2004 26 7 2004 2 30 1
07/27/2004 27 7 2004 3 30 1
07/28/2004 28 7 2004 4 30 1
07/29/2004 29 7 2004 5 30 1
07/30/2004 30 7 2004 6 30 1
07/31/2004 31 7 2004 7 30 1
08/01/2004 1 8 2004 1 30 1
08/02/2004 2 8 2004 2 31 1
08/03/2004 3 8 2004 3 31 1
08/04/2004 4 8 2004 4 31 1
08/05/2004 5 8 2004 5 31 1
08/06/2004 6 8 2004 6 31 1
08/07/2004 7 8 2004 7 31 1
08/08/2004 8 8 2004 1 31 1
08/09/2004 9 8 2004 2 32 1
08/10/2004 10 8 2004 3 32 1
08/11/2004 11 8 2004 4 32 1
08/12/2004 12 8 2004 5 32 1
08/13/2004 13 8 2004 6 32 1
08/14/2004 14 8 2004 7 32 1
08/15/2004 15 8 2004 1 32 1
08/16/2004 16 8 2004 2 33 1
08/17/2004 17 8 2004 3 33 1
08/18/2004 18 8 2004 4 33 1
08/19/2004 19 8 2004 5 33 1
08/20/2004 20 8 2004 6 33 1
08/21/2004 21 8 2004 7 33 1
08/22/2004 22 8 2004 1 33 1
08/23/2004 23 8 2004 2 34 1
08/24/2004 24 8 2004 3 34 1
08/25/2004 25 8 2004 4 34 1
08/26/2004 26 8 2004 5 34 1
08/27/2004 27 8 2004 6 34 1
08/28/2004 28 8 2004 7 34 1
08/29/2004 29 8 2004 1 34 1
08/30/2004 30 8 2004 2 35 1
08/31/2004 31 8 2004 3 35 1
09/01/2004 1 9 2004 4 35 1
09/02/2004 2 9 2004 5 35 1
09/03/2004 3 9 2004 6 35 1
09/04/2004 4 9 2004 7 35 1
09/05/2004 5 9 2004 1 35 1
09/06/2004 6 9 2004 2 36 1
09/07/2004 7 9 2004 3 36 1
09/08/2004 8 9 2004 4 36 1
09/09/2004 9 9 2004 5 36 1
09/10/2004 10 9 2004 6 36 1
09/11/2004 11 9 2004 7 36 1
09/12/2004 12 9 2004 1 36 1
09/13/2004 13 9 2004 2 37 1
09/14/2004 14 9 2004 3 37 1
09/15/2004 15 9 2004 4 37 1
09/16/2004 16 9 2004 5 37 1
09/17/2004 17 9 2004 6 37 1
09/18/2004 18 9 2004 7 37 1
09/19/2004 19 9 2004 1 37 1
09/20/2004 20 9 2004 2 38 1
09/21/2004 21 9 2004 3 38 1
09/22/2004 22 9 2004 4 38 1
09/23/2004 23 9 2004 5 38 1
09/24/2004 24 9 2004 6 38 1
09/25/2004 25 9 2004 7 38 1
09/26/2004 26 9 2004 1 38 1
09/27/2004 27 9 2004 2 39 1
09/28/2004 28 9 2004 3 39 1
09/29/2004 29 9 2004 4 39 1
09/30/2004 30 9 2004 5 39 1
10/01/2004 1 10 2004 6 39 1
10/02/2004 2 10 2004 7 39 1
10/03/2004 3 10 2004 1 39 1
10/04/2004 4 10 2004 2 40 1
10/05/2004 5 10 2004 3 40 1
10/06/2004 6 10 2004 4 40 1
10/07/2004 7 10 2004 5 40 1
10/08/2004 8 10 2004 6 40 1
10/09/2004 9 10 2004 7 40 1
10/10/2004 10 10 2004 1 40 1
10/11/2004 11 10 2004 2 41 1
10/12/2004 12 10 2004 3 41 1
10/13/2004 13 10 2004 4 41 1
10/14/2004 14 10 2004 5 41 1
10/15/2004 15 10 2004 6 41 1
10/16/2004 16 10 2004 7 41 1
10/17/2004 17 10 2004 1 41 1
10/18/2004 18 10 2004 2 42 1
10/19/2004 19 10 2004 3 42 1
10/20/2004 20 10 2004 4 42 1
10/21/2004 21 10 2004 5 42 1
10/22/2004 22 10 2004 6 42 1
10/23/2004 23 10 2004 7 42 1
10/24/2004 24 10 2004 1 42 1
10/25/2004 25 10 2004 2 43 1
10/26/2004 26 10 2004 3 43 1
10/27/2004 27 10 2004 4 43 1
10/28/2004 28 10 2004 5 43 1
10/29/2004 29 10 2004 6 43 1
10/30/2004 30 10 2004 7 43 1
10/31/2004 31 10 2004 1 43 1
11/01/2004 1 11 2004 2 44 1
11/02/2004 2 11 2004 3 44 1
11/03/2004 3 11 2004 4 44 1
11/04/2004 4 11 2004 5 44 1
11/05/2004 5 11 2004 6 44 1
11/06/2004 6 11 2004 7 44 1
11/07/2004 7 11 2004 1 44 1
11/08/2004 8 11 2004 2 45 1
11/09/2004 9 11 2004 3 45 1
11/10/2004 10 11 2004 4 45 1
11/11/2004 11 11 2004 5 45 1
11/12/2004 12 11 2004 6 45 1
11/13/2004 13 11 2004 7 45 1
11/14/2004 14 11 2004 1 45 1
11/15/2004 15 11 2004 2 46 1
11/16/2004 16 11 2004 3 46 1
11/17/2004 17 11 2004 4 46 1
11/18/2004 18 11 2004 5 46 1
11/19/2004 19 11 2004 6 46 1
11/20/2004 20 11 2004 7 46 1
11/21/2004 21 11 2004 1 46 1
11/22/2004 22 11 2004 2 47 1
11/23/2004 23 11 2004 3 47 1
11/24/2004 24 11 2004 4 47 1
11/25/2004 25 11 2004 5 47 1
11/26/2004 26 11 2004 6 47 1
11/27/2004 27 11 2004 7 47 1
